ratio,seed,iter,BRC_star_adapted,WRC_star,collapse_score,direction_diversity,effective_rank,norm_variance,row_norm_std,sigma_weight,token_spread
5,456,17000,0.319083,0.213034,1.256201,0.666461,69.381596,0.915195,0.956658,0.956658,0.165514
2,456,20000,0.277979,0.227332,1.119487,0.700270,69.381000,0.860126,0.927430,0.927430,0.167739
4,42,15000,0.317792,0.224636,1.275674,0.662998,69.380901,0.889245,0.942998,0.942998,0.164176
20,456,26000,0.416938,0.217316,1.339976,0.625633,69.378883,1.240365,1.113717,1.113717,0.179383
12,123,22000,0.383713,0.207294,1.334947,0.635341,69.378519,1.107236,1.052253,1.052253,0.173163
20,456,27000,0.421597,0.218557,1.336335,0.624903,69.376799,1.263308,1.123970,1.123970,0.180691
20,456,28000,0.419555,0.220036,1.325024,0.627260,69.368264,1.266967,1.125597,1.125597,0.181308
8,42,21000,0.354778,0.217723,1.269508,0.653603,69.367239,1.048977,1.024196,1.024196,0.172859
7,456,24000,0.329451,0.221953,1.194054,0.673586,69.362840,1.018691,1.009302,1.009302,0.173367
10,456,25000,0.347356,0.221809,1.225734,0.662818,69.362542,1.061255,1.030172,1.030172,0.175086
1,42,17000,0.250221,0.244180,1.074182,0.715410,69.361914,0.773048,0.879231,0.879231,0.164937
5,42,15000,0.333005,0.216737,1.309628,0.652937,69.355630,0.920631,0.959495,0.959495,0.165009
12,456,34000,0.371036,0.231989,1.181862,0.664156,69.352554,1.220552,1.104786,1.104786,0.184165
2,123,21000,0.307122,0.223340,1.171281,0.683252,69.340584,0.940144,0.969610,0.969610,0.170429
7,42,19000,0.349924,0.217274,1.285719,0.652440,69.338203,1.013652,1.006803,1.006803,0.170323
9,456,27000,0.324989,0.222974,1.163737,0.679905,69.336583,1.030813,1.015290,1.015290,0.175058
12,456,35000,0.375668,0.233459,1.178916,0.663460,69.327360,1.246055,1.116268,1.116268,0.185465
12,456,33000,0.376124,0.230167,1.196941,0.660302,69.323624,1.225959,1.107231,1.107231,0.183805
3,456,15000,0.309462,0.215157,1.265636,0.668036,69.315063,0.869024,0.932215,0.932215,0.162290
12,42,31000,0.335992,0.223815,1.133506,0.681638,69.314435,1.113824,1.055379,1.055379,0.180865
6,456,21000,0.330068,0.220894,1.219617,0.669389,69.311923,0.996719,0.998358,0.998358,0.171078
10,42,24000,0.344955,0.217966,1.229498,0.662992,69.309411,1.047718,1.023581,1.023581,0.174102
6,42,17000,0.340040,0.219007,1.288748,0.654751,69.307858,0.970053,0.984913,0.984913,0.167895
7,42,23000,0.341600,0.225362,1.212848,0.666655,69.307462,1.050140,1.024763,1.024763,0.174845
12,456,29000,0.376794,0.221380,1.230241,0.654875,69.300423,1.191943,1.091762,1.091762,0.180534
4,456,18000,0.305526,0.217387,1.211818,0.677291,69.300191,0.896346,0.946755,0.946755,0.166301
8,456,23000,0.346875,0.218479,1.243092,0.660830,69.290146,1.045950,1.022717,1.022717,0.172844
